algoritmo,n,t,d,m,tiempo_us,memoria_kb
naive,16,densa,D0,a,8,2492
strassen,16,densa,D0,a,696,2492
naive,1024,densa,D0,a,1555720,15836
strassen,1024,densa,D0,a,80997650,40384
naive,1024,densa,D0,b,1155264,15768
strassen,1024,densa,D0,b,76892844,40292
naive,1024,densa,D0,c,1032462,15816
strassen,1024,densa,D0,c,78306854,40364
naive,1024,densa,D10,a,916665,15776
strassen,1024,densa,D10,a,82152854,40324
naive,1024,densa,D10,b,1346942,15832
strassen,1024,densa,D10,b,77477244,40360
naive,1024,densa,D10,c,1024469,15796
strassen,1024,densa,D10,c,76709511,40344
naive,1024,diagonal,D0,a,952908,15888
strassen,1024,diagonal,D0,a,77466710,40404
naive,1024,diagonal,D0,b,1088131,15780
strassen,1024,diagonal,D0,b,78624149,40384
naive,1024,diagonal,D0,c,1349869,15884
strassen,1024,diagonal,D0,c,82856610,40432
naive,1024,diagonal,D10,a,1193937,15824
strassen,1024,diagonal,D10,a,76042277,40340
naive,1024,diagonal,D10,b,1193167,15836
strassen,1024,diagonal,D10,b,75991201,40384
naive,1024,diagonal,D10,c,1041014,15792
strassen,1024,diagonal,D10,c,73794927,40340
naive,1024,dispersa,D0,a,1176314,15824
strassen,1024,dispersa,D0,a,68023647,40348
naive,1024,dispersa,D0,b,194110,16036
strassen,1024,dispersa,D0,b,72504711,40588
naive,1024,dispersa,D0,c,345597,15932
strassen,1024,dispersa,D0,c,68119504,40480
naive,1024,dispersa,D10,a,224634,15824
strassen,1024,dispersa,D10,a,65851241,40408
naive,1024,dispersa,D10,b,221725,15960
strassen,1024,dispersa,D10,b,65776259,40508
naive,1024,dispersa,D10,c,224909,15836
strassen,1024,dispersa,D10,c,63263327,40384
naive,16,densa,D0,a,4,2496
strassen,16,densa,D0,a,1392,2496
naive,16,densa,D0,b,4,2496
strassen,16,densa,D0,b,1918,2496
naive,16,densa,D0,c,3,2496
strassen,16,densa,D0,c,1475,2496
naive,16,densa,D10,a,6,2496
strassen,16,densa,D10,a,633,2496
naive,16,densa,D10,b,4,2496
strassen,16,densa,D10,b,817,2496
naive,16,densa,D10,c,3,2496
strassen,16,densa,D10,c,1707,2496
naive,16,diagonal,D0,a,4,2496
strassen,16,diagonal,D0,a,1931,2496
naive,16,diagonal,D0,b,8,2496
strassen,16,diagonal,D0,b,1085,2496
naive,16,diagonal,D0,c,5,2496
strassen,16,diagonal,D0,c,620,2496
naive,16,diagonal,D10,a,4,2496
strassen,16,diagonal,D10,a,586,2496
naive,16,diagonal,D10,b,2,2496
strassen,16,diagonal,D10,b,587,2496
naive,16,diagonal,D10,c,3,2496
strassen,16,diagonal,D10,c,604,2496
naive,16,dispersa,D0,a,4,2496
strassen,16,dispersa,D0,a,594,2496
naive,16,dispersa,D0,b,2,2496
strassen,16,dispersa,D0,b,851,2496
naive,16,dispersa,D0,c,3,2496
strassen,16,dispersa,D0,c,589,2496
naive,16,dispersa,D10,a,4,2496
strassen,16,dispersa,D10,a,588,2496
naive,16,dispersa,D10,b,3,2496
strassen,16,dispersa,D10,b,968,2496
naive,16,dispersa,D10,c,4,2496
strassen,16,dispersa,D10,c,592,2496
naive,256,densa,D0,a,4752,4208
strassen,256,densa,D0,a,1392880,5788
naive,256,densa,D0,b,3897,4208
strassen,256,densa,D0,b,1413406,5788
naive,256,densa,D0,c,3730,4316
