algoritmo,n,t,d,m,tiempo_us,memoria_kb
stdsort,10,aleatorio,D1,a,7,2488
mergesort,10,aleatorio,D1,a,5,2488
quicksort,10,aleatorio,D1,a,0,2488
patiencesort,10,aleatorio,D1,a,20,2488
stdsort,10,aleatorio,D1,a,1,2492
mergesort,10,aleatorio,D1,a,3,2492
quicksort,10,aleatorio,D1,a,1,2492
patiencesort,10,aleatorio,D1,a,27,2492
stdsort,10,aleatorio,D7,a,15,2492
mergesort,10,aleatorio,D7,a,11,2492
quicksort,10,aleatorio,D7,a,0,2492
patiencesort,10,aleatorio,D7,a,6,2492
stdsort,10,aleatorio,D1,a,4,2492
mergesort,10,aleatorio,D1,a,8,2492
quicksort,10,aleatorio,D1,a,0,2492
patiencesort,10,aleatorio,D1,a,7,2492
stdsort,10,aleatorio,D7,a,1,2492
mergesort,10,aleatorio,D7,a,12,2492
quicksort,10,aleatorio,D7,a,1,2492
patiencesort,10,aleatorio,D7,a,28,2492
stdsort,10000000,aleatorio,D1,a,361806,121224
mergesort,10000000,aleatorio,D1,a,1119514,160188
stdsort,10000000,aleatorio,D1,a,309435,121904
mergesort,10000000,aleatorio,D1,a,985938,160800
stdsort,10000000,aleatorio,D1,a,354035,120968
mergesort,10000000,aleatorio,D1,a,1036899,159928
stdsort,10000000,aleatorio,D1,a,313744,121000
mergesort,10000000,aleatorio,D1,a,1032482,159928
stdsort,10000000,aleatorio,D1,a,312987,122356
mergesort,10000000,aleatorio,D1,a,1049588,161448
quicksort,10000000,aleatorio,D1,a,368095,180828
patiencesort,10000000,aleatorio,D1,a,423098,287456
stdsort,10000000,aleatorio,D1,b,340688,121140
mergesort,10000000,aleatorio,D1,b,1165755,160096
quicksort,10000000,aleatorio,D1,b,377177,179596
patiencesort,10000000,aleatorio,D1,b,423709,282144
stdsort,10000000,aleatorio,D1,c,358133,120996
mergesort,10000000,aleatorio,D1,c,1182201,159956
quicksort,10000000,aleatorio,D1,c,379036,179456
patiencesort,10000000,aleatorio,D1,c,450334,285896
stdsort,10000000,aleatorio,D7,a,1071462,122652
mergesort,10000000,aleatorio,D7,a,1593477,161608
quicksort,10000000,aleatorio,D7,a,1099135,181116
patiencesort,10000000,aleatorio,D7,a,2280330,297996
stdsort,10000000,aleatorio,D7,b,957024,122220
mergesort,10000000,aleatorio,D7,b,1736396,161148
quicksort,10000000,aleatorio,D7,b,1126538,180680
patiencesort,10000000,aleatorio,D7,b,2566896,297492
stdsort,10000000,aleatorio,D7,c,932211,122304
mergesort,10000000,aleatorio,D7,c,1695132,161388
quicksort,10000000,aleatorio,D7,c,1049138,180772
patiencesort,10000000,aleatorio,D7,c,2571658,297572
stdsort,10000000,ascendente,D1,a,200038,122628
mergesort,10000000,ascendente,D1,a,738791,161520
quicksort,10000000,ascendente,D1,a,217314,181088
patiencesort,10000000,ascendente,D1,a,279209,283568
stdsort,10000000,ascendente,D1,b,267656,120896
mergesort,10000000,ascendente,D1,b,752339,159856
quicksort,10000000,ascendente,D1,b,217932,179356
patiencesort,10000000,ascendente,D1,b,273590,281836
stdsort,10000000,ascendente,D1,c,231826,122300
mergesort,10000000,ascendente,D1,c,945758,161232
quicksort,10000000,ascendente,D1,c,251741,180764
patiencesort,10000000,ascendente,D1,c,267148,283176
stdsort,10000000,ascendente,D7,a,313241,121516
mergesort,10000000,ascendente,D7,a,699677,160424
quicksort,10000000,ascendente,D7,a,251338,179920
patiencesort,10000000,ascendente,D7,a,2871433,685792
stdsort,10000000,ascendente,D7,b,219705,121196
mergesort,10000000,ascendente,D7,b,726042,160092
quicksort,10000000,ascendente,D7,b,265768,179660
patiencesort,10000000,ascendente,D7,b,2888408,685324
stdsort,10000000,ascendente,D7,c,212295,121916
mergesort,10000000,ascendente,D7,c,844867,160812
quicksort,10000000,ascendente,D7,c,306005,180380
patiencesort,10000000,ascendente,D7,c,2911867,688228
stdsort,10000000,descendente,D1,a,256520,121160
mergesort,10000000,descendente,D1,a,907692,160000
quicksort,10000000,descendente,D1,a,220262,179564
patiencesort,10000000,descendente,D1,a,334468,310680
stdsort,10000000,descendente,D1,b,254358,122164
mergesort,10000000,descendente,D1,b,744940,161072
quicksort,10000000,descendente,D1,b,243383,180620
patiencesort,10000000,descendente,D1,b,276161,312968
stdsort,10000000,descendente,D1,c,217847,122556
mergesort,10000000,descendente,D1,c,744048,161520
quicksort,10000000,descendente,D1,c,219992,181020
patiencesort,10000000,descendente,D1,c,317575,311780
stdsort,10000000,descendente,D7,a,214908,121280
mergesort,10000000,descendente,D7,a,818706,160244
quicksort,10000000,descendente,D7,a,298021,179744
patiencesort,10000000,descendente,D7,a,308037,311120
stdsort,10000000,descendente,D7,b,209030,121988
mergesort,10000000,descendente,D7,b,793785,161024
quicksort,10000000,descendente,D7,b,282146,180480
patiencesort,10000000,descendente,D7,b,297184,312340
stdsort,10000000,descendente,D7,c,227013,120896
mergesort,10000000,descendente,D7,c,841805,159788
quicksort,10000000,descendente,D7,c,262283,179356
patiencesort,10000000,descendente,D7,c,285022,310356
stdsort,100000,aleatorio,D1,a,2481,4764
mergesort,100000,aleatorio,D1,a,8055,5100
quicksort,100000,aleatorio,D1,a,2781,5100
patiencesort,100000,aleatorio,D1,a,4967,6684
stdsort,100000,aleatorio,D1,b,2381,4620
mergesort,100000,aleatorio,D1,b,7388,4948
quicksort,100000,aleatorio,D1,b,2863,4948
patiencesort,100000,aleatorio,D1,b,3738,6268
stdsort,100000,aleatorio,D1,c,2693,4572
mergesort,100000,aleatorio,D1,c,8375,4904
quicksort,100000,aleatorio,D1,c,2700,4904
patiencesort,100000,aleatorio,D1,c,3865,6224
stdsort,100000,aleatorio,D7,a,6835,4836
mergesort,100000,aleatorio,D7,a,10117,5120
quicksort,100000,aleatorio,D7,a,8054,5120
patiencesort,100000,aleatorio,D7,a,13589,6440
stdsort,100000,aleatorio,D7,b,8813,4768
mergesort,100000,aleatorio,D7,b,13831,5104
quicksort,100000,aleatorio,D7,b,8149,5104
patiencesort,100000,aleatorio,D7,b,21938,6424
stdsort,100000,aleatorio,D7,c,6621,4576
mergesort,100000,aleatorio,D7,c,11750,4904
quicksort,100000,aleatorio,D7,c,10749,4904
patiencesort,100000,aleatorio,D7,c,18933,6224
stdsort,100000,ascendente,D1,a,559,4752
mergesort,100000,ascendente,D1,a,4476,5088
quicksort,100000,ascendente,D1,a,1264,5088
patiencesort,100000,ascendente,D1,a,2831,6408
stdsort,100000,ascendente,D1,b,1100,4560
mergesort,100000,ascendente,D1,b,7998,4888
quicksort,100000,ascendente,D1,b,1131,4888
patiencesort,100000,ascendente,D1,b,2318,6208
stdsort,100000,ascendente,D1,c,834,4672
mergesort,100000,ascendente,D1,c,6616,5004
quicksort,100000,ascendente,D1,c,1268,5004
patiencesort,100000,ascendente,D1,c,2860,6324
stdsort,100000,ascendente,D7,a,1994,4764
mergesort,100000,ascendente,D7,a,4063,5100
quicksort,100000,ascendente,D7,a,1205,5100
patiencesort,100000,ascendente,D7,a,32032,14240
stdsort,100000,ascendente,D7,b,1831,4600
mergesort,100000,ascendente,D7,b,4676,4936
quicksort,100000,ascendente,D7,b,1386,4936
patiencesort,100000,ascendente,D7,b,37556,13796
stdsort,100000,ascendente,D7,c,1186,4948
mergesort,100000,ascendente,D7,c,5886,5228
quicksort,100000,ascendente,D7,c,912,5228
patiencesort,100000,ascendente,D7,c,26169,14084
stdsort,100000,descendente,D1,a,666,4712
mergesort,100000,descendente,D1,a,6877,5044
quicksort,100000,descendente,D1,a,1468,5044
patiencesort,100000,descendente,D1,a,4226,6364
stdsort,100000,descendente,D1,b,1222,4620
mergesort,100000,descendente,D1,b,5174,4956
quicksort,100000,descendente,D1,b,1127,4956
patiencesort,100000,descendente,D1,b,2385,6276
stdsort,100000,descendente,D1,c,928,4948
mergesort,100000,descendente,D1,c,4693,5228
quicksort,100000,descendente,D1,c,1150,5228
patiencesort,100000,descendente,D1,c,2977,6548
stdsort,100000,descendente,D7,a,1535,4576
mergesort,100000,descendente,D7,a,6074,4904
quicksort,100000,descendente,D7,a,1278,4904
patiencesort,100000,descendente,D7,a,2019,6224
stdsort,100000,descendente,D7,b,1107,4672
mergesort,100000,descendente,D7,b,4595,5004
quicksort,100000,descendente,D7,b,1083,5004
patiencesort,100000,descendente,D7,b,3217,6324
stdsort,100000,descendente,D7,c,804,4632
mergesort,100000,descendente,D7,c,5579,4960
quicksort,100000,descendente,D7,c,1246,4960
patiencesort,100000,descendente,D7,c,2557,6280
stdsort,1000,aleatorio,D1,a,22,2488
mergesort,1000,aleatorio,D1,a,133,2488
quicksort,1000,aleatorio,D1,a,67,2488
patiencesort,1000,aleatorio,D1,a,90,2488
stdsort,1000,aleatorio,D1,b,22,2488
mergesort,1000,aleatorio,D1,b,276,2488
quicksort,1000,aleatorio,D1,b,42,2488
patiencesort,1000,aleatorio,D1,b,86,2488
stdsort,1000,aleatorio,D1,c,22,2488
mergesort,1000,aleatorio,D1,c,185,2488
quicksort,1000,aleatorio,D1,c,41,2488
patiencesort,1000,aleatorio,D1,c,59,2488
stdsort,1000,aleatorio,D7,a,71,2488
mergesort,1000,aleatorio,D7,a,132,2488
quicksort,1000,aleatorio,D7,a,69,2488
patiencesort,1000,aleatorio,D7,a,240,2488
stdsort,1000,aleatorio,D7,b,57,2488
mergesort,1000,aleatorio,D7,b,140,2488
quicksort,1000,aleatorio,D7,b,69,2488
patiencesort,1000,aleatorio,D7,b,159,2488
stdsort,1000,aleatorio,D7,c,42,2488
mergesort,1000,aleatorio,D7,c,130,2488
quicksort,1000,aleatorio,D7,c,80,2488
patiencesort,1000,aleatorio,D7,c,152,2488
stdsort,1000,ascendente,D1,a,15,2488
mergesort,1000,ascendente,D1,a,83,2488
quicksort,1000,ascendente,D1,a,24,2488
patiencesort,1000,ascendente,D1,a,62,2488
stdsort,1000,ascendente,D1,b,9,2488
mergesort,1000,ascendente,D1,b,193,2488
quicksort,1000,ascendente,D1,b,20,2488
patiencesort,1000,ascendente,D1,b,62,2488
stdsort,1000,ascendente,D1,c,11,2488
mergesort,1000,ascendente,D1,c,59,2488
quicksort,1000,ascendente,D1,c,26,2488
patiencesort,1000,ascendente,D1,c,69,2488
stdsort,1000,ascendente,D7,a,6,2488
mergesort,1000,ascendente,D7,a,167,2488
quicksort,1000,ascendente,D7,a,18,2488
patiencesort,1000,ascendente,D7,a,353,2488
stdsort,1000,ascendente,D7,b,8,2488
mergesort,1000,ascendente,D7,b,133,2488
quicksort,1000,ascendente,D7,b,12,2488
patiencesort,1000,ascendente,D7,b,158,2488
stdsort,1000,ascendente,D7,c,7,2488
mergesort,1000,ascendente,D7,c,106,2488
quicksort,1000,ascendente,D7,c,19,2488
patiencesort,1000,ascendente,D7,c,286,3900
stdsort,1000,descendente,D1,a,9,2488
mergesort,1000,descendente,D1,a,78,2488
quicksort,1000,descendente,D1,a,24,2488
patiencesort,1000,descendente,D1,a,46,2488
stdsort,1000,descendente,D1,b,9,2488
mergesort,1000,descendente,D1,b,102,2488
quicksort,1000,descendente,D1,b,25,2488
patiencesort,1000,descendente,D1,b,49,2488
stdsort,1000,descendente,D1,c,9,2488
mergesort,1000,descendente,D1,c,247,2488
quicksort,1000,descendente,D1,c,20,2488
patiencesort,1000,descendente,D1,c,109,2488
stdsort,1000,descendente,D7,a,5,2488
mergesort,1000,descendente,D7,a,55,2488
quicksort,1000,descendente,D7,a,17,2488
patiencesort,1000,descendente,D7,a,131,2488
stdsort,1000,descendente,D7,b,9,2488
mergesort,1000,descendente,D7,b,145,2488
quicksort,1000,descendente,D7,b,20,2488
patiencesort,1000,descendente,D7,b,35,2488
stdsort,1000,descendente,D7,c,4,2488
mergesort,1000,descendente,D7,c,97,2488
quicksort,1000,descendente,D7,c,17,2488
patiencesort,1000,descendente,D7,c,139,2488
stdsort,10,aleatorio,D1,a,1,2488
mergesort,10,aleatorio,D1,a,78,2488
quicksort,10,aleatorio,D1,a,0,2488
patiencesort,10,aleatorio,D1,a,7,2488
stdsort,10,aleatorio,D1,b,1,2488
mergesort,10,aleatorio,D1,b,40,2488
quicksort,10,aleatorio,D1,b,2,2488
patiencesort,10,aleatorio,D1,b,7,2488
stdsort,10,aleatorio,D1,c,1,2488
mergesort,10,aleatorio,D1,c,76,2488
quicksort,10,aleatorio,D1,c,0,2488
patiencesort,10,aleatorio,D1,c,18,2488
stdsort,10,aleatorio,D7,a,3,2488
mergesort,10,aleatorio,D7,a,72,2488
quicksort,10,aleatorio,D7,a,1,2488
patiencesort,10,aleatorio,D7,a,6,2488
stdsort,10,aleatorio,D7,b,4,2488
mergesort,10,aleatorio,D7,b,25,2488
quicksort,10,aleatorio,D7,b,1,2488
patiencesort,10,aleatorio,D7,b,13,2488
stdsort,10,aleatorio,D7,c,2,2488
mergesort,10,aleatorio,D7,c,13,2488
quicksort,10,aleatorio,D7,c,0,2488
patiencesort,10,aleatorio,D7,c,7,2488
stdsort,10,ascendente,D1,a,4,2488
mergesort,10,ascendente,D1,a,68,2488
quicksort,10,ascendente,D1,a,0,2488
patiencesort,10,ascendente,D1,a,11,2488
stdsort,10,ascendente,D1,b,8,2488
mergesort,10,ascendente,D1,b,17,2488
quicksort,10,ascendente,D1,b,0,2488
patiencesort,10,ascendente,D1,b,7,2488
stdsort,10,ascendente,D1,c,3,2488
mergesort,10,ascendente,D1,c,104,2488
quicksort,10,ascendente,D1,c,0,2488
patiencesort,10,ascendente,D1,c,12,2488
stdsort,10,ascendente,D7,a,1,2488
mergesort,10,ascendente,D7,a,50,2488
quicksort,10,ascendente,D7,a,1,2488
patiencesort,10,ascendente,D7,a,19,2488
stdsort,10,ascendente,D7,b,4,2488
mergesort,10,ascendente,D7,b,87,2488
quicksort,10,ascendente,D7,b,3,2488
patiencesort,10,ascendente,D7,b,4,2488
stdsort,10,ascendente,D7,c,1,2488
mergesort,10,ascendente,D7,c,74,2488
quicksort,10,ascendente,D7,c,1,2488
patiencesort,10,ascendente,D7,c,13,2488
stdsort,10,descendente,D1,a,6,2488
mergesort,10,descendente,D1,a,16,2488
quicksort,10,descendente,D1,a,0,2488
patiencesort,10,descendente,D1,a,4,2488
stdsort,10,descendente,D1,b,2,2488
mergesort,10,descendente,D1,b,61,2488
quicksort,10,descendente,D1,b,0,2488
patiencesort,10,descendente,D1,b,3,2488
stdsort,10,descendente,D1,c,16,2488
mergesort,10,descendente,D1,c,27,2488
quicksort,10,descendente,D1,c,3,2488
patiencesort,10,descendente,D1,c,14,2488
stdsort,10,descendente,D7,a,7,2488
mergesort,10,descendente,D7,a,20,2488
quicksort,10,descendente,D7,a,1,2488
patiencesort,10,descendente,D7,a,2,2488
stdsort,10,descendente,D7,b,10,2488
mergesort,10,descendente,D7,b,20,2488
quicksort,10,descendente,D7,b,1,2488
patiencesort,10,descendente,D7,b,7,2488
stdsort,10,descendente,D7,c,1,2488
mergesort,10,descendente,D7,c,49,2488
quicksort,10,descendente,D7,c,0,2488
patiencesort,10,descendente,D7,c,11,2488
stdsort,10000000,aleatorio,D1,a,354457,121288
mergesort,10000000,aleatorio,D1,a,992146,160280
quicksort,10000000,aleatorio,D1,a,324939,179776
patiencesort,10000000,aleatorio,D1,a,393826,286480
stdsort,10000000,aleatorio,D1,b,332221,120792
mergesort,10000000,aleatorio,D1,b,934365,159960
quicksort,10000000,aleatorio,D1,b,321311,179384
patiencesort,10000000,aleatorio,D1,b,409864,281404
stdsort,10000000,aleatorio,D1,c,326605,121940
mergesort,10000000,aleatorio,D1,c,1160864,160852
quicksort,10000000,aleatorio,D1,c,311151,180412
patiencesort,10000000,aleatorio,D1,c,411850,286852
stdsort,10000000,aleatorio,D7,a,776502,122076
mergesort,10000000,aleatorio,D7,a,1562173,160928
quicksort,10000000,aleatorio,D7,a,1064897,180484
patiencesort,10000000,aleatorio,D7,a,2236656,297364
stdsort,10000000,aleatorio,D7,b,892842,122728
mergesort,10000000,aleatorio,D7,b,1613819,161828
quicksort,10000000,aleatorio,D7,b,1013648,181304
patiencesort,10000000,aleatorio,D7,b,2418144,297920
stdsort,10000000,aleatorio,D7,c,878583,121844
mergesort,10000000,aleatorio,D7,c,1505046,160628
quicksort,10000000,aleatorio,D7,c,1020244,180252
patiencesort,10000000,aleatorio,D7,c,2330148,296868
stdsort,10000000,ascendente,D1,a,192831,121088
mergesort,10000000,ascendente,D1,a,649238,159988
quicksort,10000000,ascendente,D1,a,184318,179548
patiencesort,10000000,ascendente,D1,a,252073,282028
stdsort,10000000,ascendente,D1,b,196737,120664
mergesort,10000000,ascendente,D1,b,744349,159636
quicksort,10000000,ascendente,D1,b,184871,179128
patiencesort,10000000,ascendente,D1,b,285849,282136
stdsort,10000000,ascendente,D1,c,189744,122296
mergesort,10000000,ascendente,D1,c,611510,161272
quicksort,10000000,ascendente,D1,c,275551,180844
patiencesort,10000000,ascendente,D1,c,240736,284420
stdsort,10000000,ascendente,D7,a,188276,122308
mergesort,10000000,ascendente,D7,a,664620,161176
quicksort,10000000,ascendente,D7,a,235093,180780
patiencesort,10000000,ascendente,D7,a,2820944,687924
stdsort,10000000,ascendente,D7,b,212108,122348
mergesort,10000000,ascendente,D7,b,636456,161288
quicksort,10000000,ascendente,D7,b,231287,180824
patiencesort,10000000,ascendente,D7,b,2612751,687884
stdsort,10000000,ascendente,D7,c,185055,122612
mergesort,10000000,ascendente,D7,c,669235,161580
quicksort,10000000,ascendente,D7,c,264915,181072
patiencesort,10000000,ascendente,D7,c,2657025,686936
stdsort,10000000,descendente,D1,a,190184,122724
mergesort,10000000,descendente,D1,a,696028,161624
quicksort,10000000,descendente,D1,a,200175,181184
patiencesort,10000000,descendente,D1,a,273563,311904
stdsort,10000000,descendente,D1,b,195204,122668
mergesort,10000000,descendente,D1,b,694530,161636
quicksort,10000000,descendente,D1,b,204967,181128
patiencesort,10000000,descendente,D1,b,263348,311784
stdsort,10000000,descendente,D1,c,81238,122460
mergesort,10000000,descendente,D1,c,412483,161436
quicksort,10000000,descendente,D1,c,199815,181008
patiencesort,10000000,descendente,D1,c,244176,311524
stdsort,10000000,descendente,D7,a,212751,122400
mergesort,10000000,descendente,D7,a,697338,161304
quicksort,10000000,descendente,D7,a,227215,180944
patiencesort,10000000,descendente,D7,a,293832,311488
stdsort,10000000,descendente,D7,b,216875,122292
mergesort,10000000,descendente,D7,b,741674,161232
quicksort,10000000,descendente,D7,b,235026,180768
patiencesort,10000000,descendente,D7,b,258672,311316
stdsort,10000000,descendente,D7,c,228210,120928
mergesort,10000000,descendente,D7,c,758790,159904
quicksort,10000000,descendente,D7,c,251334,179396
patiencesort,10000000,descendente,D7,c,301624,310372
stdsort,100000,aleatorio,D1,a,2382,4936
mergesort,100000,aleatorio,D1,a,11714,5228
quicksort,100000,aleatorio,D1,a,2865,5228
patiencesort,100000,aleatorio,D1,a,6085,6548
stdsort,100000,aleatorio,D1,b,2262,4668
mergesort,100000,aleatorio,D1,b,7852,5012
quicksort,100000,aleatorio,D1,b,4713,5012
patiencesort,100000,aleatorio,D1,b,5857,6332
stdsort,100000,aleatorio,D1,c,2175,4828
mergesort,100000,aleatorio,D1,c,7639,5120
quicksort,100000,aleatorio,D1,c,3631,5120
patiencesort,100000,aleatorio,D1,c,4568,6440
stdsort,100000,aleatorio,D7,a,6522,4736
mergesort,100000,aleatorio,D7,a,17754,5084
quicksort,100000,aleatorio,D7,a,8788,5084
patiencesort,100000,aleatorio,D7,a,19293,6404
